time,exchange,price,amount,side
2026-09-12T18:23:38.764369+00:00,bitpin,17931578482.0,0.00016799,buy
2026-09-12T18:23:38.764377+00:00,bitpin,17932584136.0,0.00011151,buy
2026-09-12T18:23:38.764385+00:00,bitpin,17935243900.0,0.00013162,sell
2026-09-12T18:23:38.764393+00:00,bitpin,17936269448.0,0.00163702,sell
2026-09-12T18:23:38.764400+00:00,bitpin,17947313304.0,0.00110226,sell
2026-09-12T18:23:38.764407+00:00,bitpin,17949243899.0,0.0004948,buy
2026-09-12T18:23:38.764415+00:00,bitpin,17949243899.0,0.0027138,sell
2026-09-12T18:23:38.764426+00:00,bitpin,17949243899.0,9.05e-06,sell
2026-09-12T18:23:38.764434+00:00,bitpin,17949243899.0,7.183e-05,sell
2026-09-12T18:23:38.764442+00:00,bitpin,17949243900.0,5.535e-05,buy
2026-09-12T18:23:38.764450+00:00,bitpin,17949243900.0,1.671e-05,buy
2026-09-12T18:23:38.764457+00:00,bitpin,17949243900.0,0.00212417,buy
2026-09-12T18:23:38.764465+00:00,bitpin,17949243900.0,2.228e-05,buy
2026-09-12T18:23:38.764472+00:00,bitpin,17949243900.0,0.00038851,buy
2026-09-12T18:23:38.764479+00:00,bitpin,17949243899.0,0.00054807,sell
2026-09-12T18:23:38.764487+00:00,bitpin,17949243900.0,8.66e-06,sell
2026-09-12T18:23:38.764494+00:00,bitpin,17962027654.0,5.567e-05,sell
2026-09-12T18:23:38.764501+00:00,bitpin,17962027654.0,5.567e-05,sell
2026-09-12T18:23:38.764509+00:00,bitpin,17971513006.0,0.0002,buy
2026-09-12T18:23:38.764516+00:00,bitpin,17977041311.0,5.55e-06,buy
2026-09-12T18:23:38.764524+00:00,bitpin,17983125376.0,0.00500462,buy
2026-09-12T18:23:38.764532+00:00,bitpin,17983589200.0,0.00211878,buy
2026-09-12T18:23:38.764539+00:00,bitpin,17989956543.0,5.55e-06,buy
2026-09-12T18:23:38.764546+00:00,bitpin,17977243793.0,0.00027812,sell
2026-09-12T18:23:38.764554+00:00,bitpin,17979243899.0,0.00032939,sell
2026-09-12T18:23:38.764561+00:00,bitpin,17979243899.0,0.00042183,sell
2026-09-12T18:23:38.764568+00:00,bitpin,17996904350.0,1.111e-05,buy
2026-09-12T18:23:38.764576+00:00,bitpin,17979505422.0,0.00012783,sell
2026-09-12T18:23:38.764583+00:00,bitpin,17979759442.0,0.00027809,sell
2026-09-12T18:23:38.764591+00:00,bitpin,17997152562.0,4.895e-05,sell
2026-09-12T18:23:38.764601+00:00,bitpin,17997152562.0,3.167e-05,sell
2026-09-12T18:23:38.764612+00:00,bitpin,17998152562.0,0.00055539,buy
2026-09-12T18:23:38.764622+00:00,bitpin,17998152568.0,0.00472264,buy
2026-09-12T18:23:38.764632+00:00,bitpin,17998385211.0,0.00031076,buy
2026-09-12T18:23:38.764642+00:00,bitpin,17994787805.0,0.00959962,buy
2026-09-12T18:23:38.764652+00:00,bitpin,17996586509.0,0.00104479,buy
2026-09-12T18:23:38.764662+00:00,bitpin,17994787806.0,0.00149256,buy
2026-09-12T18:23:38.764672+00:00,bitpin,17979243899.0,0.00013436,sell
2026-09-12T18:23:38.764683+00:00,bitpin,17999243899.0,0.00228787,sell
2026-09-12T18:23:38.764693+00:00,bitpin,17999243899.0,1.088e-05,sell
2026-09-12T18:23:38.764703+00:00,bitpin,17995911957.0,0.0019159,buy
2026-09-12T18:23:38.764713+00:00,bitpin,17997710948.0,0.00134113,buy
2026-09-12T18:23:38.764724+00:00,bitpin,18000877337.0,0.0003121,sell
2026-09-12T18:23:38.764733+00:00,bitpin,17999243899.0,0.00037667,sell
2026-09-12T18:23:38.764744+00:00,bitpin,17999243899.0,0.00099387,sell
2026-09-12T18:23:38.764754+00:00,bitpin,18001045249.0,0.00195791,sell
2026-09-12T18:23:38.764764+00:00,bitpin,17976379843.0,0.00629315,sell
2026-09-12T18:23:38.764774+00:00,bitpin,17980877337.0,0.00111229,sell
2026-09-12T18:23:38.764784+00:00,bitpin,17984853656.0,0.00058052,sell
2026-09-12T18:23:38.764794+00:00,bitpin,17986653700.0,0.00082931,sell
2026-09-12T18:23:38.764804+00:00,bitpin,17988453744.0,0.00118473,sell
2026-09-12T18:23:38.764814+00:00,bitpin,17998251563.0,0.00111362,buy
2026-09-12T18:23:38.764824+00:00,bitpin,17979898376.0,0.00043199,sell
2026-09-12T18:23:38.764837+00:00,bitpin,17975877337.0,2.945e-05,sell
2026-09-12T18:23:38.764848+00:00,bitpin,17975877336.0,8.19e-05,sell
2026-09-12T18:23:38.764858+00:00,bitpin,17989259805.0,8.38e-06,buy
2026-09-12T18:23:38.764869+00:00,bitpin,17989259805.0,8.289e-05,buy
2026-09-12T18:23:38.764880+00:00,bitpin,17989259805.0,0.00027655,buy
2026-09-12T18:23:38.764889+00:00,bitpin,18095324661.0,0.00797983,buy
2026-09-12T18:23:38.764899+00:00,bitpin,17989259805.0,0.00011069,buy
2026-09-12T18:23:38.764910+00:00,bitpin,18092583703.0,8.311e-05,buy
2026-09-12T18:23:38.764920+00:00,bitpin,17989259805.0,5.595e-05,buy
2026-09-12T18:23:38.764930+00:00,bitpin,18080267100.0,0.000325,buy
2026-09-12T18:23:38.764940+00:00,bitpin,17977691620.0,0.00059232,buy
2026-09-12T18:23:38.764950+00:00,bitpin,18092583703.0,7.773e-05,buy
2026-09-12T18:23:38.764960+00:00,bitpin,18079177788.0,0.00012345,buy
2026-09-12T18:23:38.764970+00:00,bitpin,18092583703.0,0.00027704,buy
2026-09-12T18:23:38.764980+00:00,bitpin,18044909685.0,0.00211983,buy
2026-09-12T18:23:38.764993+00:00,bitpin,18080029367.0,0.00414117,buy
2026-09-12T18:23:38.765003+00:00,bitpin,17977691620.0,0.00111248,buy
2026-09-12T18:23:38.765013+00:00,bitpin,18041385642.0,5.307e-05,buy
2026-09-12T18:23:38.765023+00:00,bitpin,18054836872.0,0.00056,buy
2026-09-12T18:23:38.765034+00:00,bitpin,18024025568.0,0.00073997,buy
2026-09-12T18:23:38.765043+00:00,bitpin,18007779049.0,0.00947993,buy
2026-09-12T18:23:38.765053+00:00,bitpin,18011921851.0,0.001738,buy
2026-09-12T18:23:38.765063+00:00,bitpin,17962027654.0,2.786e-05,buy
2026-09-12T18:23:38.765073+00:00,bitpin,17956900651.0,0.00025778,buy
2026-09-12T18:23:38.765083+00:00,bitpin,17954340405.0,0.0003494,buy
2026-09-12T18:23:38.765093+00:00,bitpin,17947313304.0,0.00037195,buy
2026-09-12T18:23:38.765103+00:00,bitpin,17941256010.0,0.00175377,buy
2026-09-12T18:23:38.765113+00:00,bitpin,17947313304.0,0.00083466,buy
2026-09-12T18:23:38.765123+00:00,bitpin,17941256010.0,0.00018555,buy
2026-09-12T18:23:38.765132+00:00,bitpin,17941256010.0,0.00555846,buy
2026-09-12T18:23:38.765139+00:00,bitpin,17940256010.0,0.00610744,buy
2026-09-12T18:23:38.765147+00:00,bitpin,17939457594.0,1.095e-05,sell
2026-09-12T18:23:38.765154+00:00,bitpin,17940256010.0,0.00023505,buy
2026-09-12T18:23:38.765160+00:00,bitpin,17927437374.0,0.00227413,sell
2026-09-12T18:23:38.765167+00:00,bitpin,17939602462.0,0.00049424,buy
2026-09-12T18:23:38.765174+00:00,bitpin,17940256010.0,0.0006095,buy
2026-09-12T18:23:38.765181+00:00,bitpin,17939733567.0,0.00105319,buy
2026-09-12T18:23:38.765190+00:00,bitpin,17939733567.0,6.131e-05,buy
2026-09-12T18:23:53.512991+00:00,wallex,17981374968.0,3.224e-05,sell
2026-09-12T18:23:54.553031+00:00,nobitex,17890000009.0,0.000293,buy
2026-09-12T18:23:54.553076+00:00,nobitex,17890000009.0,0.00088,buy
2026-09-12T18:23:54.553088+00:00,nobitex,17890000009.0,0.000128,sell
2026-09-12T18:23:54.553098+00:00,nobitex,17890000010.0,0.006804,sell
2026-09-12T18:23:54.553107+00:00,nobitex,17890000009.0,0.000106,buy
